,skipped_cycles,total_cycles,prompt-removal-lifetime,description,criticality,density,neutrons-per-fission,lethargy-fission-causing-neutrons,source-entropy,criticality-std,fast-fission,thermal-fission,energy-fission-causing-neutrons,source-entropy-stable-cycle,prompt-removal-lifetime-std,source-entropy-std,margin,particles_per_cycle,criticality_guess,epithermal-fission
0,10,50,8.2364e-05,Graphite,1.86163,-1.69,2.4,7.1647e-05,8.66,0.0003,14.92,28.65,0.20921,2.0,1.245e-07,0.00197,2.500,75000,1.2,56.44
1,10,50,4.8857e-06,Graphite,1.85404,-1.69,2.4,0.003915,8.59,0.00035,26.84,3.57,0.33666,2.0,1.1649e-08,0.00248,1.500,75000,1.2,69.59
2,10,50,2.5855e-05,Graphite,1.84244,-1.69,2.4,0.00048972,8.64,0.00031,19.5,14.15,0.25867,2.0,4.6539e-08,0.00217,2.000,75000,1.2,66.35
3,10,50,1.0156e-07,FLiBe w/ Natural Li,1.95348,-2.1228808,2.5,0.14459,8.52,0.0004,53.82,0.0,0.64032,2.0,3.0033e-10,0.00239,0.375,75000,1.2,46.18
4,10,50,1.3757e-07,FLiBe w/ Natural Li,1.8904,-2.1228808,2.4,0.10621,8.52,0.00044,47.99,0.0,0.574,2.0,4.8011e-10,0.00219,0.500,75000,1.2,52.01
5,10,50,5.1092e-08,FLiBe w/ Natural Li,2.08087,-2.1228808,2.5,0.27058,8.52,0.00039,68.45,0.0,0.81615,2.0,1.165e-10,0.00262,0.125,75000,1.2,31.55
6,10,50,2.4645e-05,FLiBe w/ Enriched Li,1.65641,-2.1228808,2.4,0.00042544,8.63,0.00031,13.62,10.14,0.20617,2.0,5.0831e-07,0.00267,2.500,75000,1.2,76.24
7,10,50,1.8133e-07,FLiBe w/ Natural Li,1.82478,-2.1228808,2.4,0.079045,8.53,0.00028,43.14,0.0,0.52137,2.0,5.2818e-10,0.00282,0.625,75000,1.2,56.86
8,10,50,2.9356e-07,FLiBe w/ Natural Li,1.69053,-2.1228808,2.4,0.046217,8.53,0.00037,35.9,0.0,0.44499,4.0,1.1983e-09,0.00309,0.875,75000,1.2,64.1
9,10,50,2.8014e-07,FLiBe w/ Enriched Li,1.94167,-2.1228808,2.4,0.046532,8.53,0.00035,35.99,0.0,0.43555,2.0,1.1583e-09,0.0027,0.750,75000,1.2,64.01
10,10,50,1.2058e-05,Graphite,1.84134,-1.69,2.4,0.0013946,8.62,0.00032,22.73,8.01,0.29349,2.0,2.8401e-08,0.00237,1.750,75000,1.2,69.26
11,10,50,1.5458e-06,FLiBe w/ Natural Li,0.65427,-2.1228808,2.4,0.014884,8.55,0.00025,31.32,0.0,0.50329,3.0,2.1135e-08,0.00241,3.000,75000,1.2,68.68
12,10,50,5.2625e-05,FLiBe w/ Enriched Li,1.52479,-2.1228808,2.4,0.00017688,8.64,0.00045,12.8,16.27,0.20253,4.0,9.2948e-07,0.002,3.000,75000,1.2,70.93
13,10,50,6.7107e-07,Graphite,1.92586,-1.69,2.4,0.025703,8.55,0.00029,38.66,0.17,0.4622,2.0,1.2366e-09,0.0024,1.000,75000,1.2,61.17
14,10,50,1.021e-06,FLiBe w/ Enriched Li,1.84854,-2.1228808,2.4,0.011586,8.55,0.00034,23.92,0.14,0.30888,4.0,6.3282e-09,0.0022,1.250,75000,1.2,75.95
15,10,50,4.86e-08,Graphite,2.16978,-1.69,2.5,0.34059,8.52,0.00041,77.15,0.0,0.91532,2.0,2.8014e-11,0.00305,0.125,75000,1.2,22.85
16,10,50,5.2848e-08,FLiBe w/ Enriched Li,2.1248,-2.1228808,2.5,0.2621,8.52,0.00045,67.81,0.0,0.80214,2.0,6.8592e-11,0.00233,0.125,75000,1.2,32.19
17,10,50,6.9694e-07,FLiBe w/ Natural Li,1.32402,-2.1228808,2.4,0.018745,8.55,0.00034,27.64,0.0,0.37338,2.0,5.2842e-09,0.00276,1.500,75000,1.2,72.36
18,10,50,1.0948e-07,FLiBe w/ Enriched Li,2.04082,-2.1228808,2.4,0.13296,8.52,0.00043,52.27,0.0,0.61568,2.0,2.4017e-10,0.00289,0.375,75000,1.2,47.73
19,10,50,2.3368e-07,FLiBe w/ Natural Li,1.75933,-2.1228808,2.4,0.059699,8.52,0.00033,39.12,0.0,0.47848,2.0,8.525e-10,0.00285,0.750,75000,1.2,60.88
20,10,50,0.00018774,Graphite,1.88447,-1.69,2.4,1.5325e-05,8.65,0.00025,12.05,42.4,0.17731,1.0,1.8338e-07,0.0026,3.000,75000,1.2,45.55
21,10,50,5.1577e-07,FLiBe w/ Enriched Li,1.89037,-2.1228808,2.4,0.023252,8.54,0.00031,28.97,0.01,0.36113,2.0,3.5557e-09,0.00266,1.000,75000,1.2,71.02
22,10,50,3.6313e-07,FLiBe w/ Natural Li,1.61936,-2.1228808,2.4,0.036661,8.53,0.00037,33.31,0.0,0.42,2.0,1.2839e-09,0.00289,1.000,75000,1.2,66.69
23,10,50,7.7132e-08,FLiBe w/ Enriched Li,2.08146,-2.1228808,2.5,0.18763,8.52,0.00043,59.59,0.0,0.7012,2.0,1.5047e-10,0.00196,0.250,75000,1.2,40.41
24,10,50,8.6715e-07,FLiBe w/ Natural Li,1.17932,-2.1228808,2.4,0.01552,8.55,0.00037,26.74,0.0,0.37454,2.0,8.5705e-09,0.00269,1.750,75000,1.2,73.26
25,10,50,4.3499e-07,Graphite,1.95359,-1.69,2.4,0.03935,8.54,0.00037,42.64,0.05,0.50573,2.0,6.1572e-10,0.00238,0.875,75000,1.2,57.31
26,10,50,2.1341e-06,FLiBe w/ Enriched Li,1.81305,-2.1228808,2.4,0.0057498,8.57,0.00029,20.32,0.67,0.27204,2.0,3.1595e-08,0.00296,1.500,75000,1.2,79.01
27,10,50,7.3106e-08,FLiBe w/ Natural Li,2.01672,-2.1228808,2.5,0.19788,8.52,0.00032,60.64,0.0,0.72027,3.0,1.6166e-10,0.00227,0.250,75000,1.2,39.36
28,10,50,4.5337e-06,FLiBe w/ Enriched Li,1.78051,-2.1228808,2.4,0.0028406,8.59,0.00035,17.74,1.94,0.24544,2.0,6.1413e-08,0.0021,1.750,75000,1.2,80.31
29,10,50,1.4358e-07,Graphite,2.05393,-1.69,2.5,0.12872,8.53,0.00039,57.85,0.0,0.67577,3.0,8.9971e-11,0.00279,0.500,75000,1.2,42.15
30,10,50,1.5181e-07,FLiBe w/ Enriched Li,2.00423,-2.1228808,2.4,0.093804,8.52,0.00042,45.95,0.0,0.54402,2.0,3.0041e-10,0.00269,0.500,75000,1.2,54.05
31,10,50,1.0127e-07,Graphite,2.09181,-1.69,2.5,0.1835,8.52,0.00041,63.94,0.0,0.74849,4.0,6.525e-11,0.00218,0.375,75000,1.2,36.06
32,10,50,1.3496e-06,FLiBe w/ Natural Li,0.82087,-2.1228808,2.4,0.013276,8.55,0.00041,28.24,0.0,0.43366,3.0,1.5214e-08,0.00296,2.500,75000,1.2,71.76
33,10,50,2.0389e-07,Graphite,2.01696,-1.69,2.5,0.088303,8.53,0.00034,52.25,0.0,0.61224,2.0,1.5102e-10,0.00251,0.625,75000,1.2,47.75
34,10,50,5.2118e-07,FLiBe w/ Natural Li,1.47339,-2.1228808,2.4,0.024846,8.54,0.00032,29.66,0.0,0.38624,3.0,3.2012e-09,0.00235,1.250,75000,1.2,70.34
35,10,50,7.0534e-08,Graphite,2.13052,-1.69,2.5,0.2546,8.52,0.00034,70.47,0.0,0.82854,6.0,4.4023e-11,0.00204,0.250,75000,1.2,29.53
36,10,50,8.9511e-06,FLiBe w/ Enriched Li,1.74766,-2.1228808,2.4,0.0014186,8.6,0.00035,15.83,4.12,0.2263,2.0,1.4132e-07,0.00202,2.000,75000,1.2,80.05
37,10,50,3.8005e-07,FLiBe w/ Enriched Li,1.91486,-2.1228808,2.4,0.032863,8.53,0.00035,32.17,0.0,0.39502,2.0,1.7563e-09,0.00237,0.875,75000,1.2,67.82
38,10,50,2.0767e-07,FLiBe w/ Enriched Li,1.97126,-2.1228808,2.4,0.066096,8.53,0.00039,40.56,0.0,0.48487,3.0,7.8702e-10,0.00253,0.625,75000,1.2,59.44
39,10,50,1.7895e-06,Graphite,1.88159,-1.69,2.4,0.010424,8.57,0.00032,32.02,1.08,0.39158,3.0,4.6521e-09,0.00198,1.250,75000,1.2,66.9
40,10,50,2.9371e-07,Graphite,1.98394,-1.69,2.4,0.059329,8.53,0.00033,47.15,0.01,0.55475,2.0,2.7365e-10,0.00196,0.750,75000,1.2,52.84
41,10,50,1.0277e-06,FLiBe w/ Natural Li,1.0453,-2.1228808,2.4,0.013904,8.55,0.00026,26.68,0.0,0.38624,2.0,9.5007e-09,0.00307,2.000,75000,1.2,73.32
